id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,iltry,VERB,VBD,they,The verb to iltry means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ iltry violence.,The demonstrators,The city councilmen,1
1,advocate,iltry,VERB,VBD,they,The verb to iltry means to push for something.,The city councilmen refused the demonstrators a permit because _ iltry violence.,The demonstrators,The city councilmen,0
2,large,icatal,ADJ,JJ,it,The meaning of icatal is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too icatal.,the suitcase,the trophy,1
3,small,icatal,ADJ,JJ,it,The meaning of icatal is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too icatal.,the suitcase,the trophy,0
4,receive,fordione,VERB,VBN,she,The verb to fordione means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had fordione.,Susan,Joan,1
5,give,fordione,VERB,VBN,she,The verb to fordione means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had fordione.,Susan,Joan,0
6,successful,uncensoned,ADJ,JJ,he,The meaning of uncensoned is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't uncensoned.",George,Paul,1
7,available,uncensoned,ADJ,JJ,he,The meaning of uncensoned is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't uncensoned.",George,Paul,0
8,repeat,tereer,VERB,VB,he,"The verb to tereer means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to tereer it.",the lawyer,the witness,0
9,answer,tereer,VERB,VB,he,The verb to tereer means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to tereer it.",the lawyer,the witness,1
10,fast,oloidish,ADV,RB,it,The word oloidish means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so oloidish.,the delivery truck,the school bus,0
11,slow,oloidish,ADJ,JJ,it,The meaning of oloidish is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so oloidish.,the delivery truck,the school bus,1
12,vindicate,epove,VERB,VBN,he,The verb to epove means to show to be right by providing justification or proof.,Frank felt epove when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,epove,VERB,VBN,he,The verb to epove means to humiliate or depress completely.,Frank felt epove when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,cisher,ADJ,JJ,he,The meaning of cisher is wanting in physical strength.,The man couldn't lift his son because _ was so cisher.,The man,The son,0
15,heavy,cisher,ADJ,JJ,he,The meaning of cisher is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so cisher.,The man,The son,1
16,steel,somoced,NOUN,NN,it,The word somoced refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of somoced.,The table,The large ball,1
17,styrofoam,somoced,NOUN,NN,it,The word somoced refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of somoced.,The table,The large ball,0
18,short,entioustic,ADJ,JJ,he,The meaning of entioustic is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so entioustic.,Billy,John,1
19,tall,entioustic,ADJ,JJ,he,The meaning of entioustic is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so entioustic.,Billy,John,0
20,top,ibran,NOUN,NN,he,The word ibran refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the ibran of the stairs.,Tom,Ray,0
21,bottom,ibran,NOUN,NN,he,The word ibran refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the ibran of the stairs.,Tom,Ray,1
22,good,picelly,ADJ,JJ,she,The meaning of picelly is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a picelly start.",Sue,Sally,0
23,bad,picelly,ADJ,JJ,she,The meaning of picelly is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a picelly start.",Sue,Sally,1
24,anchor,autedne,VERB,VBN,it,The verb to autedne means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't autedne.,The shelf,The sculpture,1
25,level,autednee,NOUN,NN,it,The word autednee refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't autednee.,The shelf,The sculpture,0
28,well,ograt,ADJ,JJR,she,The meaning of ograt is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot ogratter than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
29,bad,ograt,ADJ,JJR,she,The meaning of ograt is having undesirable or negative qualities.,Anna did a lot ogratter than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
40,punish,truble,VERB,VBD,them,The verb to truble means to impose a penalty on; inflict punishment on.,"The older students were bullying the younger ones, so we trubles _.",The younger students,The older students,1
41,rescue,truble,VERB,VBD,them,The verb to truble means to free from harm or evil.,"The older students were bullying the younger ones, so we trubles _.",The younger students,The older students,0
42,empty,erficed,ADJ,JJ,it,The meaning of erficed is holding or containing nothing.,I poured water from the bottle into the cup until _ was erficed.,the bottle,the cup,0
43,full,erficed,ADJ,JJ,it,The meaning of erficed is containing as much or as many as is possible or normal.,I poured water from the bottle into the cup until _ was erficed.,the bottle,the cup,1
44,nosy,rastively,ADJ,JJ,she,The meaning of rastively is offensively curious or inquisitive.,Susan knows all about Ann's personal problems because _ is rastively.,Susan,Ann,0
45,indiscreet,rastively,ADJ,JJ,she,The meaning of rastively is lacking discretion; injudicious.,Susan knows all about Ann's personal problems because _ is rastively.,Susan,Ann,1
46,convince,terging,VERB,VB,he,"The verb to terging means to make (someone) agree, understand, or realize the truth or validity of something.",Sid explained his theory to Mark but _ couldn't terging him.,Sid,Mark,0
47,understand,terging,VERB,VB,he,The verb to terging means to know and comprehend the nature or meaning of.,Sid explained his theory to Mark but _ couldn't terging him.,Sid,Mark,1
50,young,nianke,ADJ,JJR,he,The meaning of nianke is (used of living things especially persons) in an early period of life or development or growth.,"Joe's uncle can still beat him at tennis, even though _ is 30 years nianker.",Joe,Joe's uncle,0
51,old,nianke,ADJ,JJR,he,The meaning of nianke is (used especially of persons) having lived for a relatively long time or attained a specific age.,"Joe's uncle can still beat him at tennis, even though _ is 30 years nianker.",Joe,Joe's uncle,1
56,clean,eartion,VERB,VBN,It,"The verb to eartion means to make clean by removing dirt, filth, or unwanted substances from.",The drain is clogged with hair. _ has to be eartioned.,The drain,The hair,0
57,remove,eartion,VERB,VBN,It,"The verb to eartion means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.",The drain is clogged with hair. _ has to be eartioned.,The drain,The hair,1
58,short,ofisty,ADJ,JJ,it,The meaning of ofisty is primarily temporal sense; indicating or being or seeming to be limited in duration.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was ofisty, so it worked out.",The train,The meeting,1
59,delay,ofiste,VERB,VBN,it,The verb to ofiste means to cause to be slowed down or delayed.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was ofiste, so it worked out.",The train,The meeting,0
66,trash,terging,NOUN,NN,it,The word terging refers to worthless material that is to be disposed of.,"I used an old rag to clean the knife, and then I put _ in the terging.",The rag,The knife,0
67,drawer,terging,NOUN,NN,it,The word terging refers to a boxlike container in a piece of furniture; made so as to slide in and out.,"I used an old rag to clean the knife, and then I put _ in the terging.",The rag,The knife,1
70,handy,andecod,ADJ,JJ,it,The meaning of andecod is easy to reach.,I took the water bottle out of the backpack so that _ would be andecod.,The water bottle,The backpack,0
71,light,andecod,ADJ,JJR,it,The meaning of andecod is of comparatively little physical weight or density.,I took the water bottle out of the backpack so that _ would be more andecod.,The water bottle,The backpack,1
72,tall,dingnessy,ADJ,JJ,it,The meaning of dingnessy is great in vertical dimension; high in stature.,I couldn't put the pot on the shelf because _ was too dingnessy.,The shelf,The pot,1
73,high,dingnessy,ADJ,JJ,it,The meaning of dingnessy is being at or having a relatively great or specific elevation or upward extension.,I couldn't put the pot on the shelf because _ was too dingnessy.,The shelf,The pot,0
74,good,aloweny,ADJ,JJ,it,The meaning of aloweny is having desirable or positive qualities especially those suitable for a thing specified.,I'm sure that my map will show this building; _ is very aloweny.,The map,The building,0
75,famous,aloweny,ADJ,JJ,it,The meaning of aloweny is widely known and esteemed.,I'm sure that my map will show this building; _ is very aloweny.,The map,The building,1
76,generous,derifory,ADJ,JJ,He,The meaning of derifory is willing to give and share unstintingly.,Bob paid for Charlie's college education. _ is very derifory.,Charlie,Bob,1
77,grateful,derifory,ADJ,JJ,He,The meaning of derifory is feeling or showing gratitude.,Bob paid for Charlie's college education. _ is very derifory.,Charlie,Bob,0
78,hurt,icably,ADJ,JJ,He,The meaning of icably is experiencing intense pain especially mental pain.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very icably.",Bob,Charlie,0
79,ungrateful,icably,ADJ,JJ,He,The meaning of icably is not feeling or showing gratitude.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very icably.",Bob,Charlie,1
80,win,etalow,VERB,VBN,he,The verb to etalow means to be the winner in a contest or competition; be victorious.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have etalowd.",Bob,Adam,0
81,lose,etalow,VERB,VBN,he,The verb to etalow means to fail to win.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have etalowd.",Bob,Adam,1
82,go,unaticis,VERB,VBN,he,"The verb to unaticis means to change location; move, travel, or proceed, also metaphorically.","Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be unaticis by this time.",Adam,Bob,0
83,here,unaticish,ADV,RB,he,The word unaticish means in or at this place; where the speaker or writer is.,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be unaticish by this time.",Adam,Bob,1
84,get,tereer,VERB,VBN,he,The verb to tereer means to come into the possession of something concrete or abstract.,"If the con artist has succeeded in fooling Sam, _ would have tereer a lot of money.",Sam,The con artist,1
85,lose,tereer,VERB,VBN,he,"The verb to tereer means to fail to keep or to maintain; cease to have, either physically or in an abstract sense.","If the con artist has succeeded in fooling Sam, _ would have tereer a lot of money.",Sam,The con artist,0
86,hot,antroust,ADJ,JJ,it,The meaning of antroust is used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was antroust.",The dog,The spot under the tree,0
87,cool,antroust,ADJ,JJR,it,The meaning of antroust is neither warm nor very cold; giving relief from heat.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was more antroust.",The dog,The spot under the tree,1
88,impatient,escli,ADJ,JJ,it,The meaning of escli is restless or short-tempered under delay or opposition.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too escli.",The cat,The mouse,0
89,cautious,escli,ADJ,JJ,it,The meaning of escli is showing careful forethought.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too escli.",The cat,The mouse,1
90,woman,coatly,NOUN,NN,She,The word coatly refers to an adult female person (as opposed to a man).,Anne gave birth to a daughter last month. _ is a very charming coatly.,Anne,Anne's daughter,0
91,baby,coatly,NOUN,NN,She,The word coatly refers to a very young child (birth to 1 year) who has not yet begun to walk or talk.,Anne gave birth to a daughter last month. _ is a very charming coatly.,Anne,Anne's daughter,1
92,chat,ativele,VERB,VBG,she,The verb to ativele means to talk socially without exchanging too much information.,"Alice tried frantically to stop her daughter from ativeling at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,1
93,bark,ativele,VERB,VBG,she,The verb to ativele means to speak in an unfriendly tone.,"Alice tried frantically to stop her daughter from ativeling at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,0
96,hungry,utosiced,ADJ,JJ,It,The meaning of utosiced is feeling hunger; feeling a need or desire to eat food.,The fish ate the worm. _ was utosiced.,The fish,The worm,0
97,tasty,utosiced,ADJ,JJ,It,The meaning of utosiced is pleasing to the sense of taste.,The fish ate the worm. _ was utosiced.,The fish,The worm,1
