id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
302U8RURJ1F4PRVV7VD96AIPEE5VNU-1,cautious,menoned,ADJ,JJ,_,The meaning of menoned is showing careful forethought.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were menoned.,passengers,cars,0
302U8RURJ1F4PRVV7VD96AIPEE5VNU-2,race,menon,VERB,VBG,_,The verb to menon means to move fast.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were menoning.,passengers,cars,1
307FVKVSYTTGSTKT7SVX1NWM1F474K-1,big,redle,ADJ,JJ,_,The meaning of redle is above average in size or number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too redle.,bowl,teacup,1
307FVKVSYTTGSTKT7SVX1NWM1F474K-2,small,redle,ADJ,JJ,_,The meaning of redle is limited or below average in number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too redle.,bowl,teacup,0
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-1,never,sallag,ADV,RB,_,The word sallag means not ever; at no time in the past or future.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had sallag experienced childhood abuse.",Ian,Nick,1
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-2,frequently,sallag,ADV,RB,_,The word sallag means many times at short intervals.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had sallag experienced childhood abuse.",Ian,Nick,0
3126F2F5FAHNQ1LMSK1RAVZYE29PES-1,cheap,unressy,ADJ,JJ,_,The meaning of unressy is relatively low in price or charging low prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too unressy.",shirt,iron,1
3126F2F5FAHNQ1LMSK1RAVZYE29PES-2,expensive,unressy,ADJ,JJ,_,The meaning of unressy is high in price or charging high prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too unressy.",shirt,iron,0
31JUPBOORPIGQFWXNPMK14USZMI8LH-1,thin,dected,ADJ,JJ,_,The meaning of dected is of relatively small extent from one surface to the opposite or in cross section.,The sheet recovered can easily be hiding between the space in the door. The _ is dected.,space,sheet,1
31JUPBOORPIGQFWXNPMK14USZMI8LH-2,wide,dected,ADJ,JJ,_,The meaning of dected is having great (or a certain) extent from one side to the other.,The sheet recovered can easily be hiding between the space in the door. The _ is dected.,space,sheet,0
31KPKEKW4CRMVH5I18KBUMS42A0B0A-1,limited,chism,ADJ,JJ,_,The meaning of chism is small in range or scope.,Joe immediately went to bakery before the bank because the _ had a chism supply of what he wanted.,bank,bakery,1
31KPKEKW4CRMVH5I18KBUMS42A0B0A-2,substantial,chism,ADJ,JJ,_,The meaning of chism is fairly large.,Joe immediately went to bakery before the bank because the _ had a chism supply of what he wanted.,bank,bakery,0
32204AGAABAE39KIV47A9RUAGQ3GH8-1,tiny,promatic,ADJ,JJ,_,The meaning of promatic is very small.,"The teenager chose a jeweled pin for her belly piercing, but the _ was too promatic.",pin,piercing,1
32204AGAABAE39KIV47A9RUAGQ3GH8-2,huge,promatic,ADJ,JJ,_,The meaning of promatic is unusually great in size or amount or degree or especially extent or scope.,"The teenager chose a jeweled pin for her belly piercing, but the _ was too promatic.",pin,piercing,0
32204AGAABAE39KIV47A9RUAGS3GHC-1,short,oventy,ADJ,JJ,_,The meaning of oventy is low in stature; not tall.,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was oventy.,Steven,Dennis,0
32204AGAABAE39KIV47A9RUAGS3GHC-2,tall,oventy,ADJ,JJ,_,The meaning of oventy is great in vertical dimension; high in stature.,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was oventy.,Steven,Dennis,1
32K26U12DP2V3F4II1Z6A56V0XLDVM-1,low,polly,ADJ,JJ,_,The meaning of polly is being at or having a relatively small elevation or upward extension.,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had polly heels.",shoes,boots,0
32K26U12DP2V3F4II1Z6A56V0XLDVM-2,high,polly,ADJ,JJ,_,The meaning of polly is being at or having a relatively great or specific elevation or upward extension.,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had polly heels.",shoes,boots,1
32TMVRKDGPCKS7PCHXN3FNSGBGV84O-1,big,caling,ADJ,JJR,_,The meaning of caling is above average in size or number or quantity or magnitude or extent.,The president had their speech at the auditorium rather than the park because the _ was calinger.,auditorium,park,0
32TMVRKDGPCKS7PCHXN3FNSGBGV84O-2,small,caling,ADJ,JJR,_,The meaning of caling is limited or below average in number or quantity or magnitude or extent.,The president had their speech at the auditorium rather than the park because the _ was calinger.,auditorium,park,1
335VBRURDJYN4P68RXTUW7BAFJKE96-1,employ,pation,VERB,VBN,_,The verb to pation means to engage or hire for work.,"The bank permitted Michael to open a checking account, but not Matthew, because _ was pated.",Matthew,Michael,1
335VBRURDJYN4P68RXTUW7BAFJKE96-2,unemployed,patory,ADJ,JJ,_,The meaning of patory is not engaged in a gainful occupation.,"The bank permitted Michael to open a checking account, but not Matthew, because _ was patory.",Matthew,Michael,0
33IXYHIZB5GC45L96OEFMK3WESUE2X-1,small,acenty,ADJ,JJR,_,The meaning of acenty is limited or below average in number or quantity or magnitude or extent.,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was acentier.",Nelson,Justin,0
33IXYHIZB5GC45L96OEFMK3WESUE2X-2,big,acenty,ADJ,JJR,_,The meaning of acenty is above average in size or number or quantity or magnitude or extent.,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was acentier.",Nelson,Justin,1
33K3E8REWWTWWKEFHAD8K016BE7X8T-1,think,ander,VERB,VBD,_,The verb to ander means to judge or regard; look upon; judge.,Cynthia gave a rabbit as a companion to Carrie because _ andered they were lonely.,Carrie,Cynthia,1
33K3E8REWWTWWKEFHAD8K016BE7X8T-2,explain,ander,VERB,VBD,_,The verb to ander means to make plain and comprehensible.,Cynthia gave a rabbit as a companion to Carrie because _ andered they were lonely.,Carrie,Cynthia,0
33K3E8REWWTWWKEFHAD8K016GWBX82-1,big,ingly,ADJ,JJ,_,The meaning of ingly is above average in size or number or quantity or magnitude or extent.,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ingly.",chest,path,0
33K3E8REWWTWWKEFHAD8K016GWBX82-2,short,ingly,ADJ,JJ,_,The meaning of ingly is (primarily spatial sense) having little length or lacking in length.,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ingly.",chest,path,1
33KGGVH24WVTF9T12NGTXO27RLAX1N-1,sell,ectis,VERB,VB,_,The verb to ectis means to exchange or deliver for money or its equivalent.,"Justin bought a new RV but Lawrence liked his old one, so _ decided to ectis it.",Lawrence,Justin,1
33KGGVH24WVTF9T12NGTXO27RLAX1N-2,buy,ectis,VERB,VB,_,The verb to ectis means to obtain by purchase; acquire by means of a financial transaction.,"Justin bought a new RV but Lawrence liked his old one, so _ decided to ectis it.",Lawrence,Justin,0
33N1S8XHHOZIK4TG354EU9II0OYZ1J-1,contrast,ectis,VERB,VBG,_,The verb to ectis means to put in opposition to show or emphasize differences.,John painted the pole red close to the color of the wall and painted the frame white and now the _ is ectis.,pole,frame,1
