id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,omplably,VERB,VBD,they,The verb to omplably means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ omplablyed violence.,The demonstrators,The city councilmen,1
1,advocate,omplably,VERB,VBD,they,The verb to omplably means to push for something.,The city councilmen refused the demonstrators a permit because _ omplablyed violence.,The demonstrators,The city councilmen,0
2,large,fectitic,ADJ,JJ,it,The meaning of fectitic is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too fectitic.,the suitcase,the trophy,1
3,small,fectitic,ADJ,JJ,it,The meaning of fectitic is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too fectitic.,the suitcase,the trophy,0
4,receive,icatelly,VERB,VBN,she,The verb to icatelly means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had icatellyed.,Susan,Joan,1
5,give,icatelly,VERB,VBN,she,The verb to icatelly means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had icatellyed.,Susan,Joan,0
6,successful,daudoust,ADJ,JJ,he,The meaning of daudoust is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't daudoust.",George,Paul,1
7,available,daudoust,ADJ,JJ,he,The meaning of daudoust is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't daudoust.",George,Paul,0
8,repeat,iogent,VERB,VB,he,"The verb to iogent means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to iogent it.",the lawyer,the witness,0
9,answer,iogent,VERB,VB,he,The verb to iogent means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to iogent it.",the lawyer,the witness,1
10,fast,rundnessy,ADV,RB,it,The word rundnessy means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so rundnessy.,the delivery truck,the school bus,0
11,slow,rundnessy,ADJ,JJ,it,The meaning of rundnessy is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so rundnessy.,the delivery truck,the school bus,1
12,vindicate,ntick,VERB,VBN,he,The verb to ntick means to show to be right by providing justification or proof.,Frank felt nticked when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,ntick,VERB,VBN,he,The verb to ntick means to humiliate or depress completely.,Frank felt nticked when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,nticky,ADJ,JJ,he,The meaning of nticky is wanting in physical strength.,The man couldn't lift his son because _ was so nticky.,The man,The son,0
15,heavy,nticky,ADJ,JJ,he,The meaning of nticky is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so nticky.,The man,The son,1
16,steel,anumman,NOUN,NN,it,The word anumman refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of anumman.,The table,The large ball,1
17,styrofoam,anumman,NOUN,NN,it,The word anumman refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of anumman.,The table,The large ball,0
18,short,stionitery,ADJ,JJ,he,The meaning of stionitery is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so stionitery.,Billy,John,1
19,tall,stionitery,ADJ,JJ,he,The meaning of stionitery is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so stionitery.,Billy,John,0
20,top,sellness,NOUN,NN,he,The word sellness refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the sellness of the stairs.,Tom,Ray,0
21,bottom,sellness,NOUN,NN,he,The word sellness refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the sellness of the stairs.,Tom,Ray,1
22,good,loligne,ADJ,JJ,she,The meaning of loligne is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a loligne start.",Sue,Sally,0
23,bad,loligne,ADJ,JJ,she,The meaning of loligne is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a loligne start.",Sue,Sally,1
24,anchor,teraskin,VERB,VBN,it,The verb to teraskin means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't teraskined.,The shelf,The sculpture,1
25,level,teraskin,NOUN,NN,it,The word teraskin refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't teraskin.,The shelf,The sculpture,0
28,well,ulastanty,ADJ,JJR,she,The meaning of ulastanty is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot more ulastanty than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
29,bad,ulastanty,ADJ,JJR,she,The meaning of ulastanty is having undesirable or negative qualities.,Anna did a lot more ulastanty than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
40,punish,riforce,VERB,VBD,them,The verb to riforce means to impose a penalty on; inflict punishment on.,"The older students were bullying the younger ones, so we riforce _.",The younger students,The older students,1
41,rescue,riforce,VERB,VBD,them,The verb to riforce means to free from harm or evil.,"The older students were bullying the younger ones, so we riforce _.",The younger students,The older students,0
42,empty,sprimian,ADJ,JJ,it,The meaning of sprimian is holding or containing nothing.,I poured water from the bottle into the cup until _ was sprimian.,the bottle,the cup,0
43,full,sprimian,ADJ,JJ,it,The meaning of sprimian is containing as much or as many as is possible or normal.,I poured water from the bottle into the cup until _ was sprimian.,the bottle,the cup,1
44,nosy,ogromal,ADJ,JJ,she,The meaning of ogromal is offensively curious or inquisitive.,Susan knows all about Ann's personal problems because _ is ogromal.,Susan,Ann,0
45,indiscreet,ogromal,ADJ,JJ,she,The meaning of ogromal is lacking discretion; injudicious.,Susan knows all about Ann's personal problems because _ is ogromal.,Susan,Ann,1
46,convince,piedive,VERB,VB,he,"The verb to piedive means to make (someone) agree, understand, or realize the truth or validity of something.",Sid explained his theory to Mark but _ couldn't piedive him.,Sid,Mark,0
47,understand,piedive,VERB,VB,he,The verb to piedive means to know and comprehend the nature or meaning of.,Sid explained his theory to Mark but _ couldn't piedive him.,Sid,Mark,1
50,young,shisconty,ADJ,JJR,he,The meaning of shisconty is (used of living things especially persons) in an early period of life or development or growth.,"Joe's uncle can still beat him at tennis, even though _ is 30 years more shisconty.",Joe,Joe's uncle,0
