id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,iltry,VERB,VBD,they,The verb to iltry means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ iltry violence.,The demonstrators,The city councilmen,1
1,advocate,iltry,VERB,VBD,they,The verb to iltry means to push for something.,The city councilmen refused the demonstrators a permit because _ iltry violence.,The demonstrators,The city councilmen,0
2,large,icatal,ADJ,JJ,it,The meaning of icatal is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too icatal.,the suitcase,the trophy,1
3,small,icatal,ADJ,JJ,it,The meaning of icatal is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too icatal.,the suitcase,the trophy,0
4,receive,fordione,VERB,VBN,she,The verb to fordione means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had fordione.,Susan,Joan,1
5,give,fordione,VERB,VBN,she,The verb to fordione means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had fordione.,Susan,Joan,0
6,successful,uncensoned,ADJ,JJ,he,The meaning of uncensoned is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't uncensoned.",George,Paul,1
7,available,uncensoned,ADJ,JJ,he,The meaning of uncensoned is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't uncensoned.",George,Paul,0
8,repeat,tereer,VERB,VB,he,"The verb to tereer means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to tereer it.",the lawyer,the witness,0
9,answer,tereer,VERB,VB,he,The verb to tereer means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to tereer it.",the lawyer,the witness,1
10,fast,oloidish,ADV,RB,it,The word oloidish means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so oloidish.,the delivery truck,the school bus,0
11,slow,oloidish,ADJ,JJ,it,The meaning of oloidish is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so oloidish.,the delivery truck,the school bus,1
12,vindicate,epove,VERB,VBN,he,The verb to epove means to show to be right by providing justification or proof.,Frank felt epove when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,epove,VERB,VBN,he,The verb to epove means to humiliate or depress completely.,Frank felt epove when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,cisher,ADJ,JJ,he,The meaning of cisher is wanting in physical strength.,The man couldn't lift his son because _ was so cisher.,The man,The son,0
15,heavy,cisher,ADJ,JJ,he,The meaning of cisher is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so cisher.,The man,The son,1
16,steel,somoced,NOUN,NN,it,The word somoced refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of somoced.,The table,The large ball,1
17,styrofoam,somoced,NOUN,NN,it,The word somoced refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of somoced.,The table,The large ball,0
18,short,entioustic,ADJ,JJ,he,The meaning of entioustic is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so entioustic.,Billy,John,1
19,tall,entioustic,ADJ,JJ,he,The meaning of entioustic is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so entioustic.,Billy,John,0
20,top,ibran,NOUN,NN,he,The word ibran refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the ibran of the stairs.,Tom,Ray,0
21,bottom,ibran,NOUN,NN,he,The word ibran refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the ibran of the stairs.,Tom,Ray,1
22,good,picelly,ADJ,JJ,she,The meaning of picelly is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a picelly start.",Sue,Sally,0
23,bad,picelly,ADJ,JJ,she,The meaning of picelly is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a picelly start.",Sue,Sally,1
24,anchor,autedne,VERB,VBN,it,The verb to autedne means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't autedne.,The shelf,The sculpture,1
25,level,autednee,NOUN,NN,it,The word autednee refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't autednee.,The shelf,The sculpture,0
28,well,ograt,ADJ,JJR,she,The meaning of ograt is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot ogratter than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
29,bad,ograt,ADJ,JJR,she,The meaning of ograt is having undesirable or negative qualities.,Anna did a lot ogratter than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
40,punish,truble,VERB,VBD,them,The verb to truble means to impose a penalty on; inflict punishment on.,"The older students were bullying the younger ones, so we trubles _.",The younger students,The older students,1
41,rescue,truble,VERB,VBD,them,The verb to truble means to free from harm or evil.,"The older students were bullying the younger ones, so we trubles _.",The younger students,The older students,0
42,empty,erficed,ADJ,JJ,it,The meaning of erficed is holding or containing nothing.,I poured water from the bottle into the cup until _ was erficed.,the bottle,the cup,0
43,full,erficed,ADJ,JJ,it,The meaning of erficed is containing as much or as many as is possible or normal.,I poured water from the bottle into the cup until _ was erficed.,the bottle,the cup,1
44,nosy,rastively,ADJ,JJ,she,The meaning of rastively is offensively curious or inquisitive.,Susan knows all about Ann's personal problems because _ is rastively.,Susan,Ann,0
45,indiscreet,rastively,ADJ,JJ,she,The meaning of rastively is lacking discretion; injudicious.,Susan knows all about Ann's personal problems because _ is rastively.,Susan,Ann,1
46,convince,terging,VERB,VB,he,"The verb to terging means to make (someone) agree, understand, or realize the truth or validity of something.",Sid explained his theory to Mark but _ couldn't terging him.,Sid,Mark,0
