id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
302U8RURJ1F4PRVV7VD96AIPEE5VNU-1,cautious,geoust,ADJ,JJ,_,The meaning of geoust is showing careful forethought.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were geoust.,passengers,cars,0
302U8RURJ1F4PRVV7VD96AIPEE5VNU-2,race,geous,VERB,VBG,_,The verb to geous means to move fast.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were geous.,passengers,cars,1
307FVKVSYTTGSTKT7SVX1NWM1F474K-1,big,inoly,ADJ,JJ,_,The meaning of inoly is above average in size or number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too inoly.,bowl,teacup,1
307FVKVSYTTGSTKT7SVX1NWM1F474K-2,small,inoly,ADJ,JJ,_,The meaning of inoly is limited or below average in number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too inoly.,bowl,teacup,0
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-1,never,atoust,ADV,RB,_,The word atoust means not ever; at no time in the past or future.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had atoust experienced childhood abuse.",Ian,Nick,1
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-2,frequently,atoust,ADV,RB,_,The word atoust means many times at short intervals.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had atoust experienced childhood abuse.",Ian,Nick,0
3126F2F5FAHNQ1LMSK1RAVZYE29PES-1,cheap,lotal,ADJ,JJ,_,The meaning of lotal is relatively low in price or charging low prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too lotal.",shirt,iron,1
3126F2F5FAHNQ1LMSK1RAVZYE29PES-2,expensive,lotal,ADJ,JJ,_,The meaning of lotal is high in price or charging high prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too lotal.",shirt,iron,0
31JUPBOORPIGQFWXNPMK14USZMI8LH-1,thin,magne,ADJ,JJ,_,The meaning of magne is of relatively small extent from one surface to the opposite or in cross section.,The sheet recovered can easily be hiding between the space in the door. The _ is magne.,space,sheet,1
31JUPBOORPIGQFWXNPMK14USZMI8LH-2,wide,magne,ADJ,JJ,_,The meaning of magne is having great (or a certain) extent from one side to the other.,The sheet recovered can easily be hiding between the space in the door. The _ is magne.,space,sheet,0
