id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,hydrubous,VERB,VBD,they,The verb to hydrubous means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ hydrubous violence.,The demonstrators,The city councilmen,1
1,advocate,hydrubous,VERB,VBD,they,The verb to hydrubous means to push for something.,The city councilmen refused the demonstrators a permit because _ hydrubous violence.,The demonstrators,The city councilmen,0
2,large,ntionessy,ADJ,JJ,it,The meaning of ntionessy is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too ntionessy.,the suitcase,the trophy,1
3,small,ntionessy,ADJ,JJ,it,The meaning of ntionessy is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too ntionessy.,the suitcase,the trophy,0
4,receive,broinking,VERB,VBN,she,The verb to broinking means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had broinkinged.,Susan,Joan,1
5,give,broinking,VERB,VBN,she,The verb to broinking means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had broinkinged.,Susan,Joan,0
6,successful,iphipped,ADJ,JJ,he,The meaning of iphipped is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't iphipped.",George,Paul,1
7,available,iphipped,ADJ,JJ,he,The meaning of iphipped is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't iphipped.",George,Paul,0
8,repeat,chrotolus,VERB,VB,he,"The verb to chrotolus means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to chrotolus it.",the lawyer,the witness,0
9,answer,chrotolus,VERB,VB,he,The verb to chrotolus means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to chrotolus it.",the lawyer,the witness,1
10,fast,emposcioned,ADV,RB,it,The word emposcioned means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so emposcioned.,the delivery truck,the school bus,0
11,slow,emposcioned,ADJ,JJ,it,The meaning of emposcioned is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so emposcioned.,the delivery truck,the school bus,1
12,vindicate,ptiffect,VERB,VBN,he,The verb to ptiffect means to show to be right by providing justification or proof.,Frank felt ptiffected when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,ptiffect,VERB,VBN,he,The verb to ptiffect means to humiliate or depress completely.,Frank felt ptiffected when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
