id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,lerip,VERB,VBD,they,The verb to lerip means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ leripated violence.,The demonstrators,The city councilmen,1
1,advocate,lerip,VERB,VBD,they,The verb to lerip means to push for something.,The city councilmen refused the demonstrators a permit because _ leripated violence.,The demonstrators,The city councilmen,0
2,large,lotal,ADJ,JJ,it,The meaning of lotal is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too lotal.,the suitcase,the trophy,1
3,small,lotal,ADJ,JJ,it,The meaning of lotal is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too lotal.,the suitcase,the trophy,0
4,receive,meling,VERB,VBN,she,The verb to meling means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had melinged.,Susan,Joan,1
5,give,meling,VERB,VBN,she,The verb to meling means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had melinged.,Susan,Joan,0
6,successful,deniny,ADJ,JJ,he,The meaning of deniny is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't deniny.",George,Paul,1
7,available,deniny,ADJ,JJ,he,The meaning of deniny is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't deniny.",George,Paul,0
8,repeat,nopol,VERB,VB,he,"The verb to nopol means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to nopol it.",the lawyer,the witness,0
9,answer,nopol,VERB,VB,he,The verb to nopol means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to nopol it.",the lawyer,the witness,1
10,fast,ceistic,ADV,RB,it,The word ceistic means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so ceistic.,the delivery truck,the school bus,0
11,slow,ceistic,ADJ,JJ,it,The meaning of ceistic is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so ceistic.,the delivery truck,the school bus,1
12,vindicate,elike,VERB,VBN,he,The verb to elike means to show to be right by providing justification or proof.,Frank felt elike when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,elike,VERB,VBN,he,The verb to elike means to humiliate or depress completely.,Frank felt elike when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,elike,ADJ,JJ,he,The meaning of elike is wanting in physical strength.,The man couldn't lift his son because _ was so elike.,The man,The son,0
15,heavy,elike,ADJ,JJ,he,The meaning of elike is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so elike.,The man,The son,1
16,steel,unger,NOUN,NN,it,The word unger refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of unger.,The table,The large ball,1
17,styrofoam,unger,NOUN,NN,it,The word unger refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of unger.,The table,The large ball,0
18,short,nally,ADJ,JJ,he,The meaning of nally is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so nally.,Billy,John,1
19,tall,nally,ADJ,JJ,he,The meaning of nally is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so nally.,Billy,John,0
20,top,evat,NOUN,NN,he,The word evat refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the evat of the stairs.,Tom,Ray,0
21,bottom,evat,NOUN,NN,he,The word evat refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the evat of the stairs.,Tom,Ray,1
22,good,ditral,ADJ,JJ,she,The meaning of ditral is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a ditral start.",Sue,Sally,0
23,bad,ditral,ADJ,JJ,she,The meaning of ditral is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a ditral start.",Sue,Sally,1
24,anchor,ionse,VERB,VBN,it,The verb to ionse means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't ionsed.,The shelf,The sculpture,1
25,level,ionser,NOUN,NN,it,The word ionser refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't ionser.,The shelf,The sculpture,0
28,well,icat,ADJ,JJR,she,The meaning of icat is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot icatter than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
29,bad,icat,ADJ,JJR,she,The meaning of icat is having undesirable or negative qualities.,Anna did a lot icatter than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
40,punish,lamid,VERB,VBD,them,The verb to lamid means to impose a penalty on; inflict punishment on.,"The older students were bullying the younger ones, so we lamided _.",The younger students,The older students,1
